NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	84	0.59065753	2.4014251	0.0	0.0	0.0	7081	tags=80%, list=37%, signal=125%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	0.5554611	2.2010517	0.0	0.004500881	0.005	7191	tags=77%, list=37%, signal=123%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	0.61113423	2.1773872	0.0	0.0030005875	0.005	7081	tags=89%, list=37%, signal=140%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	187	0.4913795	2.1723518	0.0	0.0022504404	0.005	3641	tags=48%, list=19%, signal=58%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	40	0.61339056	2.1587746	0.0	0.0021840255	0.006	2940	tags=52%, list=15%, signal=62%	
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	Details ...	35	0.6414668	2.1555912	0.0	0.0018200214	0.006	5292	tags=63%, list=27%, signal=86%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	12	0.8215847	2.1256266	0.0	0.0020765113	0.008	1860	tags=67%, list=10%, signal=74%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	0.5037039	2.105839	0.0	0.0026652827	0.011	7081	tags=72%, list=37%, signal=112%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	46	0.58409745	2.1005685	0.0	0.0023691403	0.011	2505	tags=48%, list=13%, signal=55%	
REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS	Details ...	16	0.76390886	2.0775921	0.0	0.0032133008	0.017	2804	tags=69%, list=15%, signal=80%	
REACTOME_EGFR_DOWNREGULATION	REACTOME_EGFR_DOWNREGULATION	Details ...	30	0.64844656	2.0760796	0.0	0.0030837816	0.018	1470	tags=33%, list=8%, signal=36%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	88	0.50342244	2.0188448	0.0	0.008689129	0.054	7081	tags=80%, list=37%, signal=125%	
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	Details ...	16	0.7280351	2.01512	0.0	0.00870018	0.058	2374	tags=63%, list=12%, signal=71%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	57	0.54167575	1.9922942	0.0	0.012293094	0.089	6173	tags=67%, list=32%, signal=98%	
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	Details ...	13	0.7608847	1.989753	0.0	0.012087994	0.093	1470	tags=46%, list=8%, signal=50%	
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	23	0.640207	1.98697	0.0	0.012110182	0.099	5297	tags=83%, list=27%, signal=114%	
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	Details ...	54	0.53874683	1.9685549	0.0	0.014856335	0.13	6511	tags=63%, list=34%, signal=95%	
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	17	0.70025545	1.966713	0.0	0.014417991	0.133	5211	tags=82%, list=27%, signal=113%	
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	Details ...	22	0.63186854	1.9580886	0.0	0.016012972	0.157	3209	tags=59%, list=17%, signal=71%	
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	Details ...	8	0.88743436	1.955386	0.0	0.016111735	0.164	1470	tags=75%, list=8%, signal=81%	
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING		23	0.63737404	1.951581	0.0	0.016268251	0.172	1470	tags=30%, list=8%, signal=33%	
