NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.75690025	2.486326	0.0	0.0	0.0	2247	tags=67%, list=12%, signal=75%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	51	0.76334894	2.4047077	0.0	0.0	0.0	1756	tags=47%, list=9%, signal=52%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	47	0.7775968	2.3971467	0.0	0.0	0.0	1756	tags=49%, list=9%, signal=54%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	51	0.75125635	2.37965	0.0	0.0	0.0	1954	tags=47%, list=10%, signal=52%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	46	0.7705992	2.3647463	0.0	0.0	0.0	1756	tags=50%, list=9%, signal=55%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	71	0.70809764	2.363537	0.0	0.0	0.0	1756	tags=38%, list=9%, signal=42%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	71	0.71731997	2.3633213	0.0	0.0	0.0	2247	tags=63%, list=12%, signal=72%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.72791934	2.3501356	0.0	0.0	0.0	2247	tags=64%, list=12%, signal=72%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.71650016	2.3492286	0.0	0.0	0.0	2247	tags=61%, list=12%, signal=69%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	42	0.7783843	2.3468132	0.0	0.0	0.0	1756	tags=55%, list=9%, signal=60%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.690494	2.3439338	0.0	0.0	0.0	2247	tags=52%, list=12%, signal=59%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	54	0.73130524	2.3303452	0.0	0.0	0.0	1756	tags=43%, list=9%, signal=47%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	39	0.7836056	2.3293705	0.0	0.0	0.0	1756	tags=49%, list=9%, signal=54%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	79	0.6852258	2.3278375	0.0	0.0	0.0	2247	tags=59%, list=12%, signal=67%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	0.67215514	2.3162615	0.0	0.0	0.0	2247	tags=48%, list=12%, signal=55%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.68329436	2.2961457	0.0	0.0	0.0	2247	tags=55%, list=12%, signal=62%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	45	0.75158995	2.2937682	0.0	0.0	0.0	1756	tags=53%, list=9%, signal=59%	
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Details ...	69	0.69197917	2.2782671	0.0	0.0	0.0	1756	tags=33%, list=9%, signal=37%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	114	0.64067113	2.2727	0.0	0.0	0.0	1832	tags=46%, list=10%, signal=51%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	46	0.7331636	2.254319	0.0	0.0	0.0	1756	tags=41%, list=9%, signal=45%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE		69	0.6881379	2.2428498	0.0	0.0	0.0	1756	tags=33%, list=9%, signal=37%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		69	0.6638868	2.2404454	0.0	0.0	0.0	1756	tags=35%, list=9%, signal=38%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		62	0.6969242	2.2330687	0.0	0.0	0.0	1756	tags=39%, list=9%, signal=43%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		75	0.65866894	2.2320247	0.0	0.0	0.0	1846	tags=35%, list=10%, signal=38%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION		116	0.61902726	2.2283435	0.0	0.0	0.0	2247	tags=38%, list=12%, signal=43%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS		86	0.6480569	2.2107577	0.0	0.0	0.0	2247	tags=45%, list=12%, signal=51%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE		51	0.7102006	2.205941	0.0	0.0	0.0	1756	tags=37%, list=9%, signal=41%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		84	0.6431184	2.205772	0.0	0.0	0.0	1756	tags=27%, list=9%, signal=30%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION		86	0.6501048	2.2048302	0.0	0.0	0.0	2247	tags=45%, list=12%, signal=51%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION		87	0.6424565	2.2043316	0.0	0.0	0.0	2247	tags=46%, list=12%, signal=52%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE		62	0.67339337	2.1987994	0.0	0.0	0.0	1901	tags=37%, list=10%, signal=41%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		85	0.6372204	2.1899436	0.0	0.0	0.0	1756	tags=27%, list=9%, signal=30%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE		57	0.69053245	2.1836915	0.0	0.0	0.0	2979	tags=44%, list=16%, signal=52%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		87	0.6315017	2.1715536	0.0	0.0	0.0	1756	tags=26%, list=9%, signal=29%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS		93	0.6227989	2.1640024	0.0	0.0	0.0	1756	tags=29%, list=9%, signal=32%	
REACTOME_HCMV_EARLY_EVENTS	REACTOME_HCMV_EARLY_EVENTS		110	0.5998562	2.1429105	0.0	2.27604E-5	0.001	1756	tags=25%, list=9%, signal=28%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		57	0.6729633	2.142775	0.0	2.2145254E-5	0.001	1756	tags=33%, list=9%, signal=37%	
