NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	668	-0.24765043	---	---	1.0	0.0	4158	tags=32%, list=22%, signal=40%	
REACTOME_CELL_CYCLE	REACTOME_CELL_CYCLE	Details ...	649	-0.32316566	---	---	1.0	0.0	6836	tags=51%, list=36%, signal=77%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Details ...	355	-0.13824378	---	---	1.0	0.0	6829	tags=39%, list=36%, signal=59%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	431	-0.26552328	---	---	1.0	0.0	4481	tags=36%, list=23%, signal=46%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	Details ...	1302	-0.15440883	---	---	1.0	0.0	5038	tags=27%, list=26%, signal=34%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	702	-0.40993267	---	---	1.0	0.0	8008	tags=67%, list=42%, signal=110%	
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	Details ...	760	-0.24959473	---	---	1.0	0.0	5356	tags=38%, list=28%, signal=51%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	556	-0.23742528	---	---	1.0	0.0	5773	tags=46%, list=30%, signal=64%	
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	Details ...	684	-0.20246428	---	---	1.0	0.0	4055	tags=26%, list=21%, signal=32%	
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	165	-0.5599594	-2.5281212	0.0	0.0	0.0	6771	tags=76%, list=35%, signal=117%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	114	-0.57146555	-2.4442852	0.0	0.0	0.0	7442	tags=82%, list=39%, signal=134%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	118	-0.5570521	-2.3648734	0.0	0.0	0.0	6867	tags=75%, list=36%, signal=115%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	Details ...	53	-0.63613707	-2.358058	0.0	0.0	0.0	6124	tags=81%, list=32%, signal=119%	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Details ...	72	-0.57850313	-2.3319836	0.0	0.0	0.0	6124	tags=69%, list=32%, signal=102%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	Details ...	53	-0.6146943	-2.3267531	0.0	0.0	0.0	6124	tags=75%, list=32%, signal=111%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	92	-0.56015605	-2.2725418	0.0	0.0	0.0	7606	tags=86%, list=40%, signal=142%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	202	-0.47749373	-2.263242	0.0	0.0	0.0	8278	tags=82%, list=43%, signal=142%	
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Details ...	53	-0.638737	-2.2559223	0.0	1.2460692E-4	0.001	6124	tags=81%, list=32%, signal=119%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	42	-0.6484199	-2.2239366	0.0	1.1804865E-4	0.001	3426	tags=64%, list=18%, signal=78%	
REACTOME_ATTENUATION_PHASE	REACTOME_ATTENUATION_PHASE	Details ...	25	-0.70882934	-2.2162209	0.0	1.1214622E-4	0.001	1838	tags=44%, list=10%, signal=49%	
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN		69	-0.57333124	-2.2104287	0.0	1.0680592E-4	0.001	6124	tags=71%, list=32%, signal=104%	
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	REACTOME_HSF1_DEPENDENT_TRANSACTIVATION		35	-0.63558257	-2.1946485	0.0	1.9551664E-4	0.002	2053	tags=43%, list=11%, signal=48%	
REACTOME_DEGRADATION_OF_DVL	REACTOME_DEGRADATION_OF_DVL		55	-0.5858982	-2.194359	0.0	1.870159E-4	0.002	6124	tags=75%, list=32%, signal=109%	
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING		60	-0.57864714	-2.1904607	0.0	1.7922359E-4	0.002	6172	tags=82%, list=32%, signal=120%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA		280	-0.4427627	-2.188478	0.0	1.7205464E-4	0.002	8008	tags=64%, list=42%, signal=108%	
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE		90	-0.5206222	-2.165633	0.0	5.015243E-4	0.006	6124	tags=66%, list=32%, signal=96%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES		48	-0.59989727	-2.1625662	0.0	4.8294934E-4	0.006	5189	tags=73%, list=27%, signal=100%	
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS		85	-0.5343969	-2.1599243	0.0	5.392169E-4	0.007	6411	tags=66%, list=33%, signal=99%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS		86	-0.54436606	-2.1514256	0.0	5.2062323E-4	0.007	6124	tags=66%, list=32%, signal=97%	
