NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	0.84898406	2.797127	0.0	0.0	0.0	1053	tags=56%, list=5%, signal=59%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	0.8446153	2.7849803	0.0	0.0	0.0	1053	tags=56%, list=5%, signal=59%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	0.86228436	2.7564352	0.0	0.0	0.0	1053	tags=65%, list=5%, signal=68%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	0.86259377	2.7478623	0.0	0.0	0.0	1938	tags=75%, list=10%, signal=83%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	92	0.823723	2.709673	0.0	0.0	0.0	695	tags=48%, list=3%, signal=49%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	0.8485979	2.7092195	0.0	0.0	0.0	695	tags=70%, list=3%, signal=72%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	0.8761849	2.7089577	0.0	0.0	0.0	695	tags=70%, list=3%, signal=73%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	0.8454108	2.7073724	0.0	0.0	0.0	1522	tags=60%, list=8%, signal=64%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	0.8255631	2.682067	0.0	0.0	0.0	695	tags=50%, list=3%, signal=52%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	70	0.83084565	2.6305022	0.0	0.0	0.0	695	tags=64%, list=3%, signal=66%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	0.78498006	2.6292825	0.0	0.0	0.0	695	tags=38%, list=3%, signal=39%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	127	0.7564171	2.5965083	0.0	0.0	0.0	1522	tags=40%, list=8%, signal=43%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	0.74936897	2.580668	0.0	0.0	0.0	695	tags=31%, list=3%, signal=32%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	78	0.8058848	2.563375	0.0	0.0	0.0	1673	tags=67%, list=8%, signal=72%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	98	0.7650631	2.5239215	0.0	0.0	0.0	695	tags=50%, list=3%, signal=52%	
