NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	68	0.754721	2.7056878	0.0	0.0	0.0	1676	tags=63%, list=8%, signal=69%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	68	0.75662845	2.696357	0.0	0.0	0.0	1676	tags=59%, list=8%, signal=64%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	60	0.77804524	2.6939633	0.0	0.0	0.0	1676	tags=63%, list=8%, signal=69%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	81	0.715665	2.5709853	0.0	0.0	0.0	1676	tags=52%, list=8%, signal=56%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	85	0.67970675	2.523294	0.0	0.0	0.0	3254	tags=56%, list=16%, signal=67%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	86	0.689424	2.5203943	0.0	0.0	0.0	2430	tags=48%, list=12%, signal=54%	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	70	0.70801544	2.5103345	0.0	0.0	0.0	1676	tags=51%, list=8%, signal=56%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	115	0.6462949	2.489958	0.0	0.0	0.0	1676	tags=37%, list=8%, signal=40%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	85	0.6654097	2.4734845	0.0	0.0	0.0	2009	tags=46%, list=10%, signal=51%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	76	0.6722186	2.458736	0.0	0.0	0.0	3581	tags=70%, list=18%, signal=85%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	68	0.6888006	2.4395254	0.0	0.0	0.0	1676	tags=57%, list=8%, signal=62%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	97	0.6438326	2.4105933	0.0	0.0	0.0	1676	tags=47%, list=8%, signal=52%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	0.642293	2.3715713	0.0	0.0	0.0	1676	tags=44%, list=8%, signal=48%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	108	0.6126958	2.3560703	0.0	0.0	0.0	3581	tags=56%, list=18%, signal=67%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	142	0.583234	2.2939634	0.0	0.0	0.0	1676	tags=31%, list=8%, signal=34%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	178	0.54924834	2.2757003	0.0	0.0	0.0	3802	tags=55%, list=19%, signal=67%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	128	0.5504718	2.1514874	0.0	0.0	0.0	1676	tags=34%, list=8%, signal=36%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	133	0.54854333	2.1434162	0.0	0.0	0.0	1676	tags=29%, list=8%, signal=32%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	33	0.66896003	2.046457	0.0	3.6495697E-4	0.013	2324	tags=52%, list=12%, signal=58%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	153	0.50162727	2.023748	0.0	6.1285583E-4	0.023	1676	tags=27%, list=8%, signal=29%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR		163	0.50495195	2.0222158	0.0	5.836722E-4	0.023	1676	tags=25%, list=8%, signal=27%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING		183	0.47639072	1.9591316	0.0	0.0020295999	0.081	1676	tags=22%, list=8%, signal=24%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING		22	0.6953304	1.9559153	0.0	0.0020560743	0.086	3654	tags=73%, list=18%, signal=89%	
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS		29	0.6464521	1.9445461	0.0	0.002415407	0.105	3340	tags=48%, list=17%, signal=58%	
REACTOME_SEROTONIN_RECEPTORS	REACTOME_SEROTONIN_RECEPTORS		7	0.89350724	1.8903733	0.0	0.005973933	0.25	1732	tags=86%, list=9%, signal=94%	
