NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	67	-0.550976	-2.0516253	0.0	0.055807758	0.039	2701	tags=43%, list=15%, signal=51%	
REACTOME_SYNDECAN_INTERACTIONS	REACTOME_SYNDECAN_INTERACTIONS	Details ...	27	-0.6713444	-1.9853982	0.0	0.07215145	0.099	1337	tags=48%, list=7%, signal=52%	
REACTOME_PEROXISOMAL_LIPID_METABOLISM	REACTOME_PEROXISOMAL_LIPID_METABOLISM	Details ...	27	-0.64154947	-1.965818	0.0	0.068168364	0.137	3580	tags=41%, list=20%, signal=51%	
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Details ...	58	-0.5327084	-1.9456029	0.0	0.068549454	0.174	1337	tags=33%, list=7%, signal=35%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION	Details ...	32	-0.5967002	-1.9104408	0.0	0.09394517	0.278	4037	tags=56%, list=22%, signal=72%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	39	-0.5555773	-1.8703836	0.0041841003	0.13736558	0.43	3367	tags=38%, list=19%, signal=47%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	50	-0.5242441	-1.8490926	0.0	0.15653767	0.534	3141	tags=36%, list=17%, signal=43%	
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	Details ...	8	-0.8295295	-1.8399603	0.003164557	0.15879004	0.581	875	tags=50%, list=5%, signal=53%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR	Details ...	66	-0.4720599	-1.8068914	0.0	0.20985484	0.707	5654	tags=53%, list=31%, signal=77%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	30	-0.5685346	-1.7926754	0.0	0.22043781	0.757	2869	tags=40%, list=16%, signal=47%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	31	-0.5600982	-1.7906473	0.004048583	0.20570683	0.771	2869	tags=42%, list=16%, signal=50%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	Details ...	12	-0.7125301	-1.7871522	0.0059701493	0.19468385	0.781	1849	tags=50%, list=10%, signal=56%	
REACTOME_UNWINDING_OF_DNA	REACTOME_UNWINDING_OF_DNA	Details ...	12	-0.7129911	-1.7836863	0.0056179776	0.1865196	0.8	3299	tags=75%, list=18%, signal=92%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	58	-0.48098913	-1.7826445	0.0	0.17541592	0.804	2921	tags=36%, list=16%, signal=43%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION	Details ...	7	-0.8408212	-1.7773603	0.0	0.1743969	0.826	1948	tags=57%, list=11%, signal=64%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	49	-0.5030879	-1.7622738	0.0	0.19606622	0.888	2912	tags=39%, list=16%, signal=46%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	38	-0.51535934	-1.7284133	0.004608295	0.26874644	0.961	4154	tags=45%, list=23%, signal=58%	
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	Details ...	17	-0.6269217	-1.7280189	0.01010101	0.2546084	0.962	1042	tags=41%, list=6%, signal=44%	
REACTOME_MEIOSIS	REACTOME_MEIOSIS	Details ...	77	-0.45519465	-1.7225783	0.006666667	0.25662923	0.967	5524	tags=48%, list=31%, signal=69%	
REACTOME_DISEASES_OF_DNA_REPAIR	REACTOME_DISEASES_OF_DNA_REPAIR	Details ...	50	-0.49172392	-1.7212136	0.0	0.2483573	0.969	5942	tags=58%, list=33%, signal=86%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ		49	-0.47989637	-1.7175063	0.0	0.2459436	0.97	4304	tags=39%, list=24%, signal=51%	
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_THE_PHOTOTRANSDUCTION_CASCADE		21	-0.593807	-1.7106566	0.01	0.25069222	0.975	3192	tags=38%, list=18%, signal=46%	
REACTOME_CREB3_FACTORS_ACTIVATE_GENES	REACTOME_CREB3_FACTORS_ACTIVATE_GENES		9	-0.72420585	-1.6968713	0.015789473	0.27365464	0.985	1445	tags=33%, list=8%, signal=36%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION		35	-0.5126413	-1.6964818	0.0	0.26355627	0.986	2869	tags=31%, list=16%, signal=37%	
REACTOME_MISMATCH_REPAIR	REACTOME_MISMATCH_REPAIR		15	-0.6312011	-1.695678	0.018072288	0.254726	0.987	5524	tags=73%, list=31%, signal=106%	
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT		74	-0.44751891	-1.6924657	0.0	0.25251687	0.987	5409	tags=45%, list=30%, signal=63%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR		146	-0.38959014	-1.6838008	0.0	0.26451853	0.993	5942	tags=46%, list=33%, signal=68%	
REACTOME_SIGNALING_BY_HIPPO	REACTOME_SIGNALING_BY_HIPPO		20	-0.60028523	-1.6806026	0.006779661	0.26328585	0.993	2107	tags=25%, list=12%, signal=28%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		49	-0.46209767	-1.6757584	0.004651163	0.26513678	0.995	4799	tags=47%, list=27%, signal=64%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL		19	-0.60221803	-1.6716024	0.006802721	0.26693654	0.997	1849	tags=32%, list=10%, signal=35%	
REACTOME_REPRODUCTION	REACTOME_REPRODUCTION		90	-0.41216952	-1.658664	0.0	0.29133308	0.998	2869	tags=28%, list=16%, signal=33%	
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES		11	-0.681749	-1.6551701	0.021276595	0.2916437	0.998	4453	tags=73%, list=25%, signal=96%	
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA		36	-0.49436823	-1.6493952	0.004048583	0.2983368	0.999	5409	tags=47%, list=30%, signal=67%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR		305	-0.35937828	-1.6427457	0.0	0.30755225	1.0	5592	tags=40%, list=31%, signal=57%	
REACTOME_ORGANIC_ANION_TRANSPORTERS	REACTOME_ORGANIC_ANION_TRANSPORTERS		8	-0.75237674	-1.636695	0.020565553	0.31556195	1.0	1623	tags=38%, list=9%, signal=41%	
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS		34	-0.49458516	-1.6276227	0.0111524165	0.334394	1.0	5255	tags=50%, list=29%, signal=70%	
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE		42	-0.47148028	-1.6261245	0.0045045046	0.329051	1.0	5942	tags=55%, list=33%, signal=81%	
REACTOME_HOMOLOGY_DIRECTED_REPAIR	REACTOME_HOMOLOGY_DIRECTED_REPAIR		116	-0.40213534	-1.6238573	0.0	0.32601064	1.0	5942	tags=47%, list=33%, signal=69%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS		145	-0.38771144	-1.6060188	0.0	0.36879784	1.0	5409	tags=39%, list=30%, signal=56%	
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE		39	-0.48095235	-1.6031127	0.025547445	0.36834276	1.0	5654	tags=51%, list=31%, signal=74%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION		34	-0.48908594	-1.5991657	0.004016064	0.37116477	1.0	2869	tags=32%, list=16%, signal=38%	
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS		32	-0.4963654	-1.5812874	0.008032128	0.4209491	1.0	4445	tags=47%, list=25%, signal=62%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS		29	-0.49786562	-1.5792397	0.021201413	0.4182898	1.0	1849	tags=28%, list=10%, signal=31%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE		114	-0.38252214	-1.5745391	0.0	0.42333773	1.0	4199	tags=33%, list=23%, signal=43%	
REACTOME_OAS_ANTIVIRAL_RESPONSE	REACTOME_OAS_ANTIVIRAL_RESPONSE		9	-0.68445045	-1.5743186	0.034852546	0.41450396	1.0	3088	tags=67%, list=17%, signal=80%	
REACTOME_FANCONI_ANEMIA_PATHWAY	REACTOME_FANCONI_ANEMIA_PATHWAY		37	-0.47599274	-1.5684277	0.01532567	0.42462897	1.0	4799	tags=49%, list=27%, signal=66%	
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	REACTOME_MET_ACTIVATES_PTK2_SIGNALING		30	-0.49116147	-1.5663294	0.018181818	0.4214887	1.0	1298	tags=30%, list=7%, signal=32%	
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS		77	-0.4057724	-1.5605112	0.0056818184	0.43193045	1.0	5409	tags=42%, list=30%, signal=59%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING		59	-0.42624253	-1.5555409	0.0	0.43944377	1.0	3329	tags=47%, list=18%, signal=58%	
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES	REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES		38	-0.47037748	-1.5531654	0.015625	0.4394645	1.0	5654	tags=55%, list=31%, signal=80%	
REACTOME_LIPID_PARTICLE_ORGANIZATION	REACTOME_LIPID_PARTICLE_ORGANIZATION		6	-0.75245607	-1.5519946	0.053846154	0.4348703	1.0	2311	tags=83%, list=13%, signal=96%	
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	REACTOME_PEROXISOMAL_PROTEIN_IMPORT		60	-0.42543128	-1.5469654	0.0058479533	0.44352973	1.0	3494	tags=30%, list=19%, signal=37%	
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	REACTOME_RORA_ACTIVATES_GENE_EXPRESSION		18	-0.55590284	-1.5428318	0.04375	0.44861358	1.0	6386	tags=78%, list=35%, signal=120%	
