NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	111	0.5696483	2.3599844	0.0	0.0	0.0	6891	tags=77%, list=33%, signal=114%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	92	0.58564603	2.324069	0.0	0.0	0.0	6038	tags=78%, list=29%, signal=110%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	100	0.5589869	2.2622936	0.0	0.0	0.0	6038	tags=72%, list=29%, signal=101%	
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	36	0.6694933	2.2577233	0.0	0.0	0.0	5264	tags=81%, list=26%, signal=108%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	116	0.538523	2.2336435	0.0	0.0	0.0	6082	tags=67%, list=30%, signal=95%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	114	0.5346727	2.2127707	0.0	3.02278E-4	0.002	6891	tags=71%, list=33%, signal=106%	
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	Details ...	50	0.5995773	2.1198127	0.0	0.0010453073	0.008	7157	tags=86%, list=35%, signal=131%	
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	168	0.46485686	2.0195944	0.0	0.008541045	0.075	6891	tags=62%, list=33%, signal=92%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	118	0.4879402	2.012817	0.0	0.0080038095	0.079	6891	tags=68%, list=33%, signal=101%	
REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	Details ...	12	0.7906113	1.9894949	0.0	0.011158507	0.117	1653	tags=67%, list=8%, signal=72%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	202	0.4326423	1.9267278	0.0	0.02585406	0.268	7474	tags=60%, list=36%, signal=94%	
REACTOME_METALLOTHIONEINS_BIND_METALS	REACTOME_METALLOTHIONEINS_BIND_METALS	Details ...	9	0.8149666	1.9232233	0.0	0.024831552	0.276	1653	tags=78%, list=8%, signal=85%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	0.54310817	1.899448	0.0022624435	0.0333037	0.385	991	tags=16%, list=5%, signal=16%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	154	0.43017095	1.867759	0.0	0.046844214	0.528	6891	tags=58%, list=33%, signal=86%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS	Details ...	182	0.42208317	1.8541151	0.0	0.052150574	0.59	4316	tags=37%, list=21%, signal=47%	
REACTOME_FATTY_ACIDS	REACTOME_FATTY_ACIDS	Details ...	12	0.7386644	1.8386167	0.0	0.061689004	0.665	865	tags=42%, list=4%, signal=43%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM	Details ...	54	0.50705844	1.8222835	0.0022371365	0.07120845	0.731	2620	tags=39%, list=13%, signal=44%	
REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	Details ...	12	0.7160879	1.7943753	0.004	0.0955405	0.844	2515	tags=42%, list=12%, signal=47%	
REACTOME_EICOSANOIDS	REACTOME_EICOSANOIDS	Details ...	11	0.72908163	1.7902135	0.0	0.09470799	0.856	990	tags=45%, list=5%, signal=48%	
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION	REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION	Details ...	7	0.8202249	1.7820559	0.0065789474	0.09894962	0.876	2358	tags=86%, list=11%, signal=97%	
REACTOME_ENDOGENOUS_STEROLS	REACTOME_ENDOGENOUS_STEROLS		25	0.5723652	1.7801254	0.0021321962	0.096356094	0.883	3768	tags=48%, list=18%, signal=59%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM		168	0.40328434	1.7700983	0.0	0.103643134	0.907	4852	tags=41%, list=24%, signal=53%	
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS		92	0.44282174	1.7611367	0.0	0.109123655	0.927	2427	tags=29%, list=12%, signal=33%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS		8	0.765231	1.7537608	0.0140280565	0.11405148	0.948	3367	tags=63%, list=16%, signal=75%	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE		85	0.44290695	1.7502278	0.0023419203	0.11394214	0.951	2067	tags=15%, list=10%, signal=17%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS		27	0.56868154	1.7490027	0.0069444445	0.11124491	0.953	2515	tags=30%, list=12%, signal=34%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION		154	0.40151277	1.7379369	0.0	0.121346004	0.968	5815	tags=50%, list=28%, signal=69%	
TRYPTOPHAN DEGRADATION	TRYPTOPHAN DEGRADATION		13	0.6827187	1.7358595	0.016161617	0.11975637	0.971	5151	tags=69%, list=25%, signal=92%	
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS		8	0.7609657	1.7329628	0.008333334	0.118788764	0.972	2356	tags=50%, list=11%, signal=56%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM		30	0.53340864	1.7309681	0.012931035	0.11756623	0.974	2824	tags=27%, list=14%, signal=31%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL		12	0.66091007	1.7067837	0.008298756	0.14702418	0.992	2869	tags=58%, list=14%, signal=68%	
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS		16	0.6230816	1.7012862	0.010729614	0.1509981	0.994	1969	tags=31%, list=10%, signal=35%	
REACTOME_VLDL_ASSEMBLY	REACTOME_VLDL_ASSEMBLY		5	0.8537062	1.6895746	0.0062370063	0.16520363	0.996	2235	tags=60%, list=11%, signal=67%	
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS		14	0.657051	1.6838753	0.0022624435	0.16966933	0.999	2601	tags=36%, list=13%, signal=41%	
LYSINE DEGRADATION	LYSINE DEGRADATION		10	0.6982214	1.6814414	0.015184382	0.16887897	1.0	5151	tags=80%, list=25%, signal=107%	
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS		16	0.6014144	1.6780947	0.015217391	0.16978256	1.0	3007	tags=50%, list=15%, signal=58%	
REACTOME_PREDNISONE_ADME	REACTOME_PREDNISONE_ADME		7	0.78611004	1.6697365	0.004255319	0.17953497	1.0	3007	tags=57%, list=15%, signal=67%	
REACTOME_HEME_DEGRADATION	REACTOME_HEME_DEGRADATION		12	0.66131836	1.6687342	0.013186813	0.17675781	1.0	3924	tags=58%, list=19%, signal=72%	
REACTOME_ATORVASTATIN_ADME	REACTOME_ATORVASTATIN_ADME		7	0.7652419	1.6584349	0.013972056	0.19080365	1.0	3924	tags=71%, list=19%, signal=88%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL		12	0.6563502	1.6580411	0.014583333	0.18671961	1.0	3768	tags=58%, list=18%, signal=71%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL		21	0.5581044	1.6575491	0.012295082	0.18283685	1.0	2869	tags=43%, list=14%, signal=50%	
