NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Details ...	71	-0.90652364	-2.7837198	0.0	0.0	0.0	1220	tags=77%, list=6%, signal=82%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	61	-0.9207549	-2.7570267	0.0	0.0	0.0	1220	tags=93%, list=6%, signal=99%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	69	-0.8960165	-2.7547061	0.0	0.0	0.0	1351	tags=84%, list=7%, signal=90%	
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Details ...	82	-0.87553984	-2.737141	0.0	0.0	0.0	1351	tags=71%, list=7%, signal=76%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	86	-0.8637118	-2.7223938	0.0	0.0	0.0	1374	tags=70%, list=7%, signal=75%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	76	-0.8675865	-2.7125514	0.0	0.0	0.0	1220	tags=75%, list=6%, signal=80%	
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Details ...	87	-0.86862504	-2.7101963	0.0	0.0	0.0	1220	tags=66%, list=6%, signal=70%	
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	Details ...	86	-0.8645957	-2.7068005	0.0	0.0	0.0	1220	tags=65%, list=6%, signal=69%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Details ...	134	-0.8254516	-2.6973197	0.0	0.0	0.0	1220	tags=41%, list=6%, signal=43%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	68	-0.88644075	-2.6746216	0.0	0.0	0.0	1220	tags=84%, list=6%, signal=89%	
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	Details ...	93	-0.84633577	-2.6435673	0.0	0.0	0.0	1351	tags=62%, list=7%, signal=67%	
REACTOME_PARASITE_INFECTION	REACTOME_PARASITE_INFECTION	Details ...	116	-0.80645245	-2.6100435	0.0	0.0	0.0	1351	tags=51%, list=7%, signal=54%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	69	-0.84974915	-2.5886579	0.0	0.0	0.0	1220	tags=83%, list=6%, signal=88%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	104	-0.80047005	-2.5791504	0.0	0.0	0.0	1402	tags=60%, list=7%, signal=64%	
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	Details ...	164	-0.7669367	-2.5491235	0.0	0.0	0.0	1374	tags=37%, list=7%, signal=39%	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	Details ...	129	-0.77648115	-2.5286262	0.0	0.0	0.0	1351	tags=47%, list=7%, signal=50%	
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS	Details ...	154	-0.76674587	-2.5233002	0.0	0.0	0.0	1260	tags=40%, list=6%, signal=42%	
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Details ...	143	-0.7638051	-2.5170953	0.0	0.0	0.0	1351	tags=41%, list=7%, signal=44%	
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Details ...	184	-0.74631923	-2.512368	0.0	0.0	0.0	1220	tags=31%, list=6%, signal=33%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	172	-0.73367625	-2.4710984	0.0	0.0	0.0	2023	tags=49%, list=10%, signal=54%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		98	-0.78296643	-2.4656627	0.0	0.0	0.0	1220	tags=59%, list=6%, signal=63%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL		181	-0.7254724	-2.4297948	0.0	0.0	0.0	1291	tags=43%, list=7%, signal=45%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION		213	-0.6645906	-2.2491708	0.0	0.0	0.0	1489	tags=31%, list=8%, signal=34%	
REACTOME_DRUG_ADME	REACTOME_DRUG_ADME		88	-0.7063136	-2.2164028	0.0	0.0	0.0	1768	tags=36%, list=9%, signal=40%	
REACTOME_ASPIRIN_ADME	REACTOME_ASPIRIN_ADME		27	-0.82902277	-2.1466296	0.0	0.0	0.0	1257	tags=56%, list=6%, signal=59%	
REACTOME_GLUCURONIDATION	REACTOME_GLUCURONIDATION		16	-0.8950609	-2.1149795	0.0	0.0	0.0	786	tags=69%, list=4%, signal=72%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS		87	-0.65629923	-2.0730941	0.0	0.0	0.0	3014	tags=43%, list=16%, signal=50%	
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS		20	-0.819954	-2.0281866	0.0	7.319936E-5	0.002	1316	tags=55%, list=7%, signal=59%	
REACTOME_BIOLOGICAL_OXIDATIONS	REACTOME_BIOLOGICAL_OXIDATIONS		187	-0.59341496	-2.012027	0.0	7.067524E-5	0.002	2902	tags=37%, list=15%, signal=44%	
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT		39	-0.72129226	-2.0119846	0.0	6.8319394E-5	0.002	1984	tags=41%, list=10%, signal=46%	
REACTOME_DIGESTION	REACTOME_DIGESTION		19	-0.82204986	-2.0106862	0.0	1.325406E-4	0.004	1593	tags=53%, list=8%, signal=57%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING		44	-0.6941271	-1.9842354	0.0	2.553657E-4	0.008	3083	tags=55%, list=16%, signal=65%	
