NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	Details ...	42	0.6143854	2.188014	0.0	0.0018588916	0.002	3516	tags=55%, list=18%, signal=67%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	73	0.54967314	2.1455429	0.0	0.0013946058	0.003	3085	tags=48%, list=16%, signal=57%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	67	0.55810165	2.145493	0.0	9.2973723E-4	0.003	3085	tags=54%, list=16%, signal=64%	
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Details ...	83	0.53282565	2.125624	0.0	0.0011956837	0.005	3979	tags=46%, list=20%, signal=57%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	54	0.5664968	2.112971	0.0	0.0013315119	0.007	3907	tags=48%, list=20%, signal=60%	
REACTOME_MUSCLE_CONTRACTION	REACTOME_MUSCLE_CONTRACTION	Details ...	195	0.47380772	2.0782132	0.0	0.002521411	0.016	3846	tags=46%, list=20%, signal=57%	
REACTOME_ELASTIC_FIBRE_FORMATION	REACTOME_ELASTIC_FIBRE_FORMATION	Details ...	43	0.60588056	2.0553515	0.0	0.003109894	0.023	3660	tags=72%, list=19%, signal=89%	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	44	0.56172276	2.0085983	0.0	0.0074736243	0.063	2639	tags=55%, list=14%, signal=63%	
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	Details ...	36	0.5807937	1.9683349	0.0	0.012554655	0.114	2940	tags=64%, list=15%, signal=75%	
REACTOME_PHASE_0_RAPID_DEPOLARISATION	REACTOME_PHASE_0_RAPID_DEPOLARISATION	Details ...	31	0.5934144	1.9492173	0.0	0.01567207	0.154	6459	tags=74%, list=33%, signal=111%	
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	Details ...	18	0.6850861	1.9185575	0.0	0.02315933	0.234	4763	tags=78%, list=25%, signal=103%	
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	Details ...	11	0.7787625	1.9120322	0.0	0.023070555	0.246	3441	tags=82%, list=18%, signal=99%	
REACTOME_ION_HOMEOSTASIS	REACTOME_ION_HOMEOSTASIS	Details ...	54	0.51634365	1.9054304	0.0	0.023214644	0.267	2836	tags=46%, list=15%, signal=54%	
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	Details ...	8	0.8430813	1.8791424	0.0	0.029846173	0.356	2905	tags=88%, list=15%, signal=103%	
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	Details ...	8	0.8465368	1.8740873	0.0023980816	0.029506505	0.369	2473	tags=88%, list=13%, signal=100%	
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	Details ...	8	0.8329278	1.8573108	0.0	0.03404927	0.433	2905	tags=75%, list=15%, signal=88%	
REACTOME_PI_3K_CASCADE_FGFR2	REACTOME_PI_3K_CASCADE_FGFR2	Details ...	18	0.6453775	1.8563929	0.002967359	0.032328974	0.437	5020	tags=61%, list=26%, signal=82%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	Details ...	41	0.53635335	1.8430619	0.0	0.036348198	0.501	3261	tags=46%, list=17%, signal=56%	
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	Details ...	30	0.5654878	1.8373473	0.0	0.03688038	0.525	6105	tags=77%, list=31%, signal=112%	
REACTOME_KERATAN_SULFATE_DEGRADATION	REACTOME_KERATAN_SULFATE_DEGRADATION	Details ...	13	0.7178907	1.8302889	0.002624672	0.03859458	0.558	2473	tags=46%, list=13%, signal=53%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION		35	0.5423229	1.8118925	0.0037453184	0.04712664	0.647	4324	tags=54%, list=22%, signal=70%	
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION		8	0.820535	1.8114622	0.0	0.04511585	0.649	2187	tags=75%, list=11%, signal=84%	
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS		8	0.8082852	1.8108532	0.0	0.043359224	0.65	2522	tags=63%, list=13%, signal=72%	
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2		13	0.69698906	1.8106289	0.005167959	0.04171216	0.65	5020	tags=85%, list=26%, signal=114%	
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE		8	0.81537205	1.8016962	0.0025	0.044424973	0.687	3441	tags=88%, list=18%, signal=106%	
REACTOME_LGI_ADAM_INTERACTIONS	REACTOME_LGI_ADAM_INTERACTIONS		12	0.7130394	1.8002899	0.010498688	0.043305412	0.692	2242	tags=67%, list=12%, signal=75%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1		26	0.5693731	1.7998873	0.0	0.041874457	0.692	5020	tags=54%, list=26%, signal=73%	
