NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	203	-0.7893183	-3.4012892	0.0	0.0	0.0	513	tags=48%, list=2%, signal=49%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	1073	-0.4809366	-2.3578463	0.0	0.0	0.0	1251	tags=14%, list=6%, signal=14%	
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM	Details ...	13	-0.83215755	-2.132954	0.0	0.0050482126	0.012	2221	tags=62%, list=11%, signal=69%	
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	Details ...	9	-0.85675466	-1.9970342	0.0	0.04816511	0.144	1781	tags=67%, list=9%, signal=73%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	66	-0.5521921	-1.9805728	0.0	0.04696562	0.174	1985	tags=17%, list=10%, signal=18%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	127	-0.48948407	-1.9596758	0.0	0.050570723	0.221	657	tags=23%, list=3%, signal=23%	
REACTOME_LINOLEIC_ACID_LA_METABOLISM	REACTOME_LINOLEIC_ACID_LA_METABOLISM	Details ...	8	-0.8922132	-1.9552388	0.0023255814	0.046421766	0.234	2221	tags=100%, list=11%, signal=112%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.50436234	-1.9479662	0.0	0.044725887	0.253	7486	tags=66%, list=36%, signal=103%	
REACTOME_TRIGLYCERIDE_METABOLISM	REACTOME_TRIGLYCERIDE_METABOLISM	Details ...	34	-0.62316626	-1.9418309	0.0	0.0453785	0.281	2533	tags=41%, list=12%, signal=47%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	Details ...	10	-0.82743	-1.9383564	0.0	0.043009028	0.293	1274	tags=70%, list=6%, signal=75%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES	Details ...	34	-0.60898197	-1.9023795	0.0	0.061882116	0.432	4000	tags=50%, list=19%, signal=62%	
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	Details ...	8	-0.83223426	-1.9002773	0.002386635	0.058187444	0.437	2778	tags=88%, list=14%, signal=101%	
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	Details ...	7	-0.8908837	-1.8963864	0.0024937657	0.057199262	0.457	589	tags=43%, list=3%, signal=44%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Details ...	47	-0.557631	-1.8918817	0.0	0.05706217	0.48	3401	tags=49%, list=17%, signal=59%	
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	Details ...	12	-0.7585599	-1.8763298	0.0	0.06601119	0.558	2533	tags=58%, list=12%, signal=67%	
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	Details ...	7	-0.84397864	-1.861402	0.004597701	0.0758693	0.63	1956	tags=57%, list=10%, signal=63%	
REACTOME_METABOLISM_OF_STEROIDS	REACTOME_METABOLISM_OF_STEROIDS	Details ...	148	-0.4574797	-1.8607557	0.0	0.07214706	0.631	4440	tags=41%, list=22%, signal=51%	
