NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	Details ...	42	-0.7386055	-2.240403	0.0	0.0	0.0	2637	tags=69%, list=14%, signal=81%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	470	-0.5352423	-2.179276	0.0	0.0	0.0	3717	tags=40%, list=20%, signal=49%	
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	Details ...	65	-0.6400663	-2.126324	0.0	3.885853E-4	0.001	3097	tags=54%, list=17%, signal=65%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	41	-0.7090191	-2.112273	0.0	5.786921E-4	0.002	1424	tags=46%, list=8%, signal=50%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	58	-0.65085137	-2.1058214	0.0	4.629537E-4	0.002	2335	tags=48%, list=13%, signal=55%	
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	Details ...	84	-0.6188526	-2.0932994	0.0	3.8579473E-4	0.002	3097	tags=49%, list=17%, signal=59%	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	Details ...	55	-0.64357835	-2.0449193	0.0	5.009393E-4	0.003	2335	tags=49%, list=13%, signal=56%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	184	-0.5394013	-2.0334277	0.0	4.3832188E-4	0.003	2932	tags=42%, list=16%, signal=50%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	125	-0.5579608	-2.0069408	0.0	0.0013087124	0.009	2066	tags=38%, list=11%, signal=42%	
REACTOME_DEFENSINS	REACTOME_DEFENSINS	Details ...	13	-0.800667	-1.9052019	0.0	0.014167159	0.115	2062	tags=69%, list=11%, signal=78%	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	Details ...	27	-0.66320306	-1.8826718	0.0	0.021161413	0.18	3125	tags=56%, list=17%, signal=67%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	1014	-0.44285768	-1.8780551	0.0	0.020856796	0.195	4055	tags=36%, list=22%, signal=43%	
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	Details ...	16	-0.7535912	-1.8701125	0.0	0.02285916	0.228	2146	tags=56%, list=12%, signal=64%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Details ...	216	-0.4861116	-1.8692017	0.0	0.021646893	0.231	1944	tags=33%, list=11%, signal=37%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	36	-0.64160436	-1.8612034	0.0	0.023014175	0.259	4199	tags=58%, list=23%, signal=76%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	25	-0.6820694	-1.8478404	0.0	0.026468907	0.306	4199	tags=68%, list=23%, signal=88%	
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	Details ...	26	-0.67237973	-1.8362657	0.0016260162	0.030963566	0.38	3621	tags=54%, list=20%, signal=67%	
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	Details ...	17	-0.72838604	-1.8280689	0.0034305318	0.033987936	0.423	1285	tags=41%, list=7%, signal=44%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION	Details ...	32	-0.6240484	-1.8012252	0.0015873016	0.051117	0.569	5779	tags=75%, list=32%, signal=110%	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Details ...	20	-0.69520664	-1.7727294	0.004846527	0.07282721	0.72	3125	tags=70%, list=17%, signal=84%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS		27	-0.6370525	-1.7709583	0.008012821	0.071480684	0.728	2376	tags=41%, list=13%, signal=47%	
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY		71	-0.52830786	-1.7470788	0.0	0.09940294	0.857	4820	tags=45%, list=26%, signal=61%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA		120	-0.49141392	-1.7454509	0.0	0.097532146	0.861	7084	tags=63%, list=39%, signal=102%	
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES		21	-0.6498605	-1.7381452	0.004901961	0.10403786	0.889	3210	tags=48%, list=18%, signal=58%	
REACTOME_ORGANIC_CATION_TRANSPORT	REACTOME_ORGANIC_CATION_TRANSPORT		8	-0.844167	-1.7298906	0.0035211267	0.1131318	0.92	688	tags=38%, list=4%, signal=39%	
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS		36	-0.5865098	-1.7223748	0.004636785	0.11943067	0.936	3312	tags=53%, list=18%, signal=64%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		92	-0.49909982	-1.7148244	0.0	0.12653272	0.949	7668	tags=75%, list=42%, signal=129%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES		49	-0.5440648	-1.7058928	0.0015313936	0.13873444	0.962	6786	tags=71%, list=37%, signal=114%	
REACTOME_ARACHIDONIC_ACID_METABOLISM	REACTOME_ARACHIDONIC_ACID_METABOLISM		44	-0.55261195	-1.7049526	0.007936508	0.13556072	0.963	2380	tags=41%, list=13%, signal=47%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS		129	-0.46747872	-1.7012966	0.0	0.13773921	0.975	1944	tags=33%, list=11%, signal=37%	
REACTOME_BETA_DEFENSINS	REACTOME_BETA_DEFENSINS		6	-0.8815675	-1.6979806	0.008576329	0.1399734	0.978	1346	tags=83%, list=7%, signal=90%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		202	-0.445102	-1.6925372	0.0	0.14606638	0.984	7388	tags=66%, list=41%, signal=110%	
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR		13	-0.7292807	-1.6920003	0.003144654	0.14285088	0.984	1745	tags=54%, list=10%, signal=60%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION		271	-0.42943758	-1.689252	0.0	0.14339086	0.986	2335	tags=29%, list=13%, signal=33%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS		87	-0.4965405	-1.6856724	0.0	0.14582504	0.988	7283	tags=64%, list=40%, signal=107%	
