NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	ATP REGENERATION FROM GLUCOSE (NORMOXIC CONDITIONS) - GLYCOLYSIS + KREBS CYCLE	Details ...	86	-0.67372215	-2.7760482	0.0	0.0	0.0	4769	tags=72%, list=23%, signal=94%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Details ...	126	-0.608882	-2.711963	0.0	0.0	0.0	4930	tags=65%, list=24%, signal=85%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	102	-0.6225324	-2.6905043	0.0	0.0	0.0	4882	tags=63%, list=24%, signal=82%	
CONVERSION OF LYSINE TO L-2-AMINOADIPATE	CONVERSION OF LYSINE TO L-2-AMINOADIPATE	Details ...	90	-0.6469789	-2.6724284	0.0	0.0	0.0	4769	tags=69%, list=23%, signal=90%	
METHIONINE DEGRADATION	METHIONINE DEGRADATION	Details ...	67	-0.6682141	-2.6402338	0.0	0.0	0.0	4769	tags=70%, list=23%, signal=91%	
REACTOME_KEAP1_NFE2L2_PATHWAY	REACTOME_KEAP1_NFE2L2_PATHWAY	Details ...	105	-0.6061244	-2.6304796	0.0	0.0	0.0	3217	tags=55%, list=16%, signal=65%	
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	Details ...	78	-0.6463029	-2.61611	0.0	0.0	0.0	3217	tags=60%, list=16%, signal=71%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	96	-0.61243606	-2.6057608	0.0	0.0	0.0	6274	tags=75%, list=31%, signal=108%	
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	Details ...	84	-0.6164741	-2.5435534	0.0	0.0	0.0	4819	tags=63%, list=24%, signal=82%	
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	Details ...	60	-0.6143241	-2.4741268	0.0	0.0	0.0	6123	tags=83%, list=30%, signal=119%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Details ...	49	-0.6585612	-2.4279287	0.0	0.0	0.0	4819	tags=82%, list=24%, signal=107%	
REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES	Details ...	16	-0.8490118	-2.425683	0.0	0.0	0.0	1225	tags=56%, list=6%, signal=60%	
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	177	-0.53379506	-2.4166484	0.0	0.0	0.0	4930	tags=60%, list=24%, signal=79%	
OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	OXIDATIVE PHOSPHORYLATION VIA NADH-COENZYME Q OXIDOREDUCTASE (COMPLEX I)	Details ...	45	-0.66157377	-2.413596	0.0	0.0	0.0	5251	tags=71%, list=26%, signal=96%	
REACTOME_METABOLISM_OF_POLYAMINES	REACTOME_METABOLISM_OF_POLYAMINES	Details ...	58	-0.62209827	-2.4092646	0.0	0.0	0.0	4819	tags=74%, list=24%, signal=97%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	Details ...	54	-0.6381867	-2.3854914	0.0	0.0	0.0	4819	tags=72%, list=24%, signal=94%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	54	-0.63876414	-2.3836198	0.0	0.0	0.0	4819	tags=72%, list=24%, signal=94%	
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	Details ...	73	-0.594869	-2.3728652	0.0	0.0	0.0	4819	tags=64%, list=24%, signal=84%	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	Details ...	63	-0.60807854	-2.362956	0.0	0.0	0.0	4819	tags=70%, list=24%, signal=91%	
REACTOME_DEGRADATION_OF_DVL	REACTOME_DEGRADATION_OF_DVL	Details ...	56	-0.6148131	-2.3530486	0.0	0.0	0.0	4819	tags=73%, list=24%, signal=96%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS		57	-0.62096316	-2.352515	0.0	0.0	0.0	5850	tags=68%, list=29%, signal=96%	
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	REACTOME_HEDGEHOG_LIGAND_BIOGENESIS		62	-0.59930974	-2.3445725	0.0	0.0	0.0	4819	tags=73%, list=24%, signal=95%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME		59	-0.6096166	-2.340746	0.0	0.0	0.0	4819	tags=69%, list=24%, signal=91%	
